"ride_id","rideable_type","started_at","ended_at","ride_length","day_of_week","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"F96D5A74A3E41399","electric_bike","2023-01-21 20:05:00","2023-01-21 20:16:00","00:10:51",6,"Lincoln Ave & Fullerton Ave","TA1309000058","Hampden Ct & Diversey Ave","202480","41.92407394","-87.64627838","41.93","-87.64","member    "
"13CB7EB698CEDB88","classic_bike","2023-01-10 15:37:00","2023-01-10 15:46:00","00:08:29",2,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"BD88A2E670661CE5","electric_bike","2023-01-02 07:51:00","2023-01-02 08:05:00","00:13:14",1,"Western Ave & Lunt Ave","RP-005","Valli Produce - Evanston Plaza","599","42.008571","-87.69048283","42.039742","-87.699413","casual    "
"C90792D034FED968","classic_bike","2023-01-22 10:52:00","2023-01-22 11:01:00","00:08:46",7,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"3397017529188E8A","classic_bike","2023-01-12 13:58:00","2023-01-12 14:13:00","00:15:19",4,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"58E68156DAE3E311","electric_bike","2023-01-31 07:18:00","2023-01-31 07:21:00","00:03:13",2,"Lakeview Ave & Fullerton Pkwy","TA1309000019","Hampden Ct & Diversey Ave","202480","41.9260689","-87.6388582","41.93","-87.64","member    "
"2F7194B6012A98D4","electric_bike","2023-01-15 21:18:00","2023-01-15 21:32:00","00:14:00",7,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.79955363","-87.59461665","41.809835","-87.599383","member    "
"DB1CF84154D6A049","classic_bike","2023-01-25 10:49:00","2023-01-25 10:58:00","00:09:21",3,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"34EAB943F88C4C5D","electric_bike","2023-01-25 20:49:00","2023-01-25 21:02:00","00:12:27",3,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.79958749","-87.5946703","41.809835","-87.599383","member    "
"BC8AB1AA51DA9115","classic_bike","2023-01-06 16:37:00","2023-01-06 16:49:00","00:12:33",5,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"CBE4D3954EB194B7","classic_bike","2023-01-05 17:31:00","2023-01-05 17:41:00","00:09:49",4,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"367CD42F84880491","classic_bike","2023-01-03 17:32:00","2023-01-03 17:41:00","00:09:22",2,"Kimbark Ave & 53rd St","TA1309000037","Greenwood Ave & 47th St","TA1308000002","41.799568","-87.594747","41.809835","-87.599383","member    "
"F3344545150C3222","electric_bike","2023-01-09 19:11:00","2023-01-09 19:19:00","00:07:40",1,"Broadway & Waveland Ave","13325","Hampden Ct & Diversey Ave","202480","41.94908118","-87.64860499","41.93","-87.64","member    "
"9DC70E5EE9D6A93F","electric_bike","2023-01-03 20:25:00","2023-01-03 20:35:00","00:09:57",2,"Broadway & Waveland Ave","13325","Hampden Ct & Diversey Ave","202480","41.94910574","-87.64862752","41.93","-87.64","casual    "
"0894DBBB4FA509E5","electric_bike","2023-01-12 22:12:00","2023-01-12 22:17:00","00:04:35",4,"Lincoln Park Conservatory","LP-","Hampden Ct & Diversey Ave","202480","41.92406774","-87.63582873","41.93","-87.64","member    "
"1E27A12D6C9A7C60","classic_bike","2023-01-09 21:09:00","2023-01-09 21:16:00","00:06:38",1,"Clark St & Columbia Ave","RP-008","Warren Park West","RP-001","42.00445063","-87.6724024","42.001785","-87.688829","member    "
"0B19B6A808BFE539","electric_bike","2023-01-21 09:13:00","2023-01-21 09:16:00","00:02:30",6,"Lakeview Ave & Fullerton Pkwy","TA1309000019","Hampden Ct & Diversey Ave","202480","41.92588902","-87.63875532","41.93","-87.64","member    "
"689D537E5D034DA8","electric_bike","2023-01-05 17:28:00","2023-01-05 17:43:00","00:15:16",4,"Western Ave & Lunt Ave","RP-005","Valli Produce - Evanston Plaza","599","42.0086135","-87.6905225","42.039742","-87.699413","casual    "
"7BA57BAACF64EAE2","electric_bike","2023-01-17 17:17:00","2023-01-17 17:33:00","00:16:02",2,"McClurg Ct & Ohio St","TA1306000029","Hampden Ct & Diversey Ave","202480","41.89287138","-87.61719585","41.93","-87.64","member    "
"E1C847B8FBA49482","classic_bike","2023-01-03 18:18:00","2023-01-03 19:07:00","00:48:49",2,"McClurg Ct & Ohio St","TA1306000029","Clark St & Elmdale Ave","KA1504000148","41.89259212","-87.61728913","41.99086045","-87.66972363","member    "
"88549285D389AA6B","electric_bike","2023-01-02 17:32:00","2023-01-02 17:47:00","00:15:02",1,"Clarendon Ave & Gordon Ter","13379","Clark St & Elmdale Ave","KA1504000148","41.95772791","-87.64941275","41.99086045","-87.66972363","member    "
"06EF8DD39CF7170F","electric_bike","2023-01-01 18:04:00","2023-01-01 18:09:00","00:04:02",7,"Clark St & Berwyn Ave","KA1504000146","Clark St & Elmdale Ave","KA1504000148","41.97792041","-87.6680584","41.99086045","-87.66972363","member    "
"A5CBC7142CA8FAD8","classic_bike","2023-01-02 12:45:00","2023-01-02 12:53:00","00:07:18",1,"Clark St & Berwyn Ave","KA1504000146","Clark St & Elmdale Ave","KA1504000148","41.97803062","-87.66856492","41.99086045","-87.66972363","casual    "
"836AA7376E9DA905","classic_bike","2023-01-17 17:15:00","2023-01-17 17:44:00","00:29:23",2,"Clark St & Newport St","632","Warren Park West","RP-001","41.94454","-87.654678","42.001785","-87.688829","member    "
"2B8E0781ED90C27C","electric_bike","2023-01-11 17:03:00","2023-01-11 17:13:00","00:10:09",3,"Avondale Ave & Irving Park Rd","15624","Campbell Ave & Irving Park Rd","439","41.95317817","-87.73194754","41.95","-87.69","casual    "
"8BF68A18C282C01C","electric_bike","2023-01-16 18:16:00","2023-01-16 18:24:00","00:08:02",1,"Wilton Ave & Diversey Pkwy","TA1306000014","Hampden Ct & Diversey Ave","202480","41.93249667","-87.65268","41.93","-87.64","member    "
"325B1DEA4641D815","electric_bike","2023-01-12 07:36:00","2023-01-12 07:44:00","00:07:53",4,"Komensky Ave & 55th St","347","Pulaski Rd & 51st St","343","41.79","-87.72","41.8","-87.72","member    "
"A552D9830672F73A","electric_bike","2023-01-17 12:46:00","2023-01-17 12:54:00","00:08:40",2,"Clark St & Newport St","632","Hampden Ct & Diversey Ave","202480","41.94449055","-87.65477228","41.93","-87.64","member    "
"400D3C150A972867","electric_bike","2023-01-24 17:53:00","2023-01-24 17:58:00","00:05:19",2,"Clark St & Columbia Ave","RP-008","Clark St & Elmdale Ave","KA1504000148","42.00445879","-87.67237675","41.99086045","-87.66972363","casual    "
"6037DB9543179602","electric_bike","2023-01-13 15:21:00","2023-01-13 15:26:00","00:05:11",5,"Lincoln Ave & Fullerton Ave","TA1309000058","Hampden Ct & Diversey Ave","202480","41.92426789","-87.64633834","41.93","-87.64","member    "
"2425BDC5A7696864","electric_bike","2023-01-21 18:16:00","2023-01-21 18:24:00","00:08:01",6,"Lincoln Ave & Fullerton Ave","TA1309000058","Hampden Ct & Diversey Ave","202480","41.92431128","-87.64657211","41.93","-87.64","member    "
"1FF9728E372684C5","classic_bike","2023-01-11 17:22:00","2023-01-11 17:39:00","00:17:17",3,"Central St & Girard Ave","E007","Valli Produce - Evanston Plaza","599","42.064313","-87.686152","42.039742","-87.699413","member    "
"688620F6C9C8835B","electric_bike","2023-01-18 07:51:00","2023-01-18 07:54:00","00:03:00",3,"Komensky Ave & 55th St","347","Pulaski Rd & 51st St","343","41.79","-87.72","41.8","-87.72","member    "
"669361BCBC84EA49","electric_bike","2023-01-19 07:48:00","2023-01-19 07:52:00","00:03:37",4,"Komensky Ave & 55th St","347","Pulaski Rd & 51st St","343","41.79","-87.72","41.8","-87.72","member    "
"55B78FE3FCEB92E4","electric_bike","2023-01-06 12:33:00","2023-01-06 12:42:00","00:09:34",5,"Troy St & Elston Ave","15631","Campbell Ave & Irving Park Rd","439","41.94523454","-87.70661891","41.95","-87.69","casual    "
"F4033A8EB2C385FE","classic_bike","2023-01-07 13:16:00","2023-01-07 13:21:00","00:04:30",6,"Dorchester Ave & 49th St","KA1503000069","Greenwood Ave & 47th St","TA1308000002","41.805772","-87.592464","41.809835","-87.599383","member    "
"F184D56C447FA161","electric_bike","2023-01-07 04:35:00","2023-01-07 04:38:00","00:02:59",6,"Dorchester Ave & 49th St","KA1503000069","Greenwood Ave & 47th St","TA1308000002","41.80581689","-87.59250605","41.809835","-87.599383","member    "
"DF6608569323D54E","electric_bike","2023-01-07 16:42:00","2023-01-07 17:03:00","00:20:19",6,"Millennium Park","13008","Hampden Ct & Diversey Ave","202480","41.88103437","-87.62412655","41.93","-87.64","member    "
"D2ECC02AA1214A94","electric_bike","2023-01-14 10:50:00","2023-01-14 10:57:00","00:06:13",6,"Clark St & Newport St","632","Hampden Ct & Diversey Ave","202480","41.94445783","-87.65474183","41.93","-87.64","casual    "
"C1D80BC2F7A0AF30","electric_bike","2023-01-19 19:17:00","2023-01-19 19:18:00","00:00:28",4,"Hampden Ct & Diversey Ave","202480","Hampden Ct & Diversey Ave","202480","41.93","-87.64","41.93","-87.64","casual    "
"B4ED20B291AB768F","electric_bike","2023-01-26 12:36:00","2023-01-26 12:37:00","00:00:48",4,"Hampden Ct & Diversey Ave","202480","Hampden Ct & Diversey Ave","202480","41.93","-87.64","41.93","-87.64","member    "
"77011B9AE49C776B","classic_bike","2023-01-07 12:51:00","2023-01-07 12:58:00","00:07:16",6,"Western Ave & Lunt Ave","RP-005","Warren Park West","RP-001","42.0085944","-87.69049224","42.001785","-87.688829","member    "
"4A9867D6863D6C63","electric_bike","2023-01-10 07:39:00","2023-01-10 07:42:00","00:03:31",2,"Komensky Ave & 55th St","347","Pulaski Rd & 51st St","343","41.79","-87.72","41.8","-87.72","member    "
"650449350AB6764F","electric_bike","2023-01-24 07:40:00","2023-01-24 07:43:00","00:03:02",2,"Komensky Ave & 55th St","347","Pulaski Rd & 51st St","343","41.79","-87.72","41.8","-87.72","member    "
"EC97A7E695CDC2D1","classic_bike","2023-01-13 17:05:00","2023-01-13 17:15:00","00:10:02",5,"Clark St & Columbia Ave","RP-008","Warren Park West","RP-001","42.00445063","-87.6724024","42.001785","-87.688829","member    "
"08C5C30E568371E8","classic_bike","2023-01-19 06:50:00","2023-01-19 07:05:00","00:15:52",4,"Damen Ave & Thomas St (Augusta Blvd)","TA1307000070","Sacramento Blvd & Franklin Blvd","KA1504000113","41.901315","-87.677409","41.89046879","-87.70260751","member    "
"200C9AF603FBB4CC","classic_bike","2023-01-25 06:36:00","2023-01-25 06:50:00","00:13:45",3,"Damen Ave & Thomas St (Augusta Blvd)","TA1307000070","Sacramento Blvd & Franklin Blvd","KA1504000113","41.901315","-87.677409","41.89046879","-87.70260751","member    "
"3A98E10AA7906ABE","classic_bike","2023-01-10 14:11:00","2023-01-10 14:25:00","00:13:34",2,"Evanston Civic Center","661","Valli Produce - Evanston Plaza","599","42.057044","-87.686554","42.039742","-87.699413","member    "
"543671E294B78165","electric_bike","2023-01-23 20:03:00","2023-01-23 20:08:00","00:05:17",1,"Clark St & Berwyn Ave","KA1504000146","Clark St & Elmdale Ave","KA1504000148","41.95171833","-87.69764614","41.99086045","-87.66972363","member    "
"092B21768C664141","electric_bike","2023-01-20 09:31:00","2023-01-20 09:35:00","00:04:21",5,"Wilton Ave & Diversey Pkwy","TA1306000014","Hampden Ct & Diversey Ave","202480","41.93250567","-87.65269333","41.93","-87.64","casual    "
